Issue Type,Summary,Epic Name,Epic Link,Description,Acceptance Criteria,Labels
Epic,"E1 NFC与App Clip入口","E1 NFC与AppClip入口",,"实现从NTAG216触碰到App Clip入口Sheet的完整链路。","触碰标签后2秒内出现App Clip卡片；无效标签被拒绝并提示。","phase-mvp,epic-e1"
Epic,"E2 专注会话引擎","E2 专注会话引擎",,"实现专注会话状态机、主链PoW记录与异常恢复。","会话状态机稳定运行；完成会话生成节点；失败会话记录完整。","phase-mvp,epic-e2"
Epic,"E3 预约链（CTDP）","E3 预约链（CTDP）",,"实现延时预约启动与预约链记录。","预约履约可统计；违约可判定且可追溯。","phase-mvp,epic-e3"
Epic,"E4 判例引擎（下必为例）","E4 判例引擎（下必为例）",,"实现违规采集与断链/放宽二选一判决。","所有违规事件均进入判决；规则生效可追溯。","phase-mvp,epic-e4"
Epic,"E5 Focus Shield家长控制","E5 Focus Shield家长控制",,"实现专注期App屏蔽能力与授权流程。","会话期被选App不可打开；会话后自动恢复。","phase-mvp,epic-e5"
Epic,"E6 本地数据与导入导出","E6 本地数据与导入导出",,"实现纯本地存储与加密导入导出。","核心实体可持久化；导出导入可靠。","phase-mvp,epic-e6"
Epic,"E7 统计与复盘（规则版）","E7 统计与复盘（规则版）",,"实现无AI统计看板和模板化复盘。","首页指标准确；复盘建议可追溯到事件。","phase-mvp,epic-e7"
Epic,"E8 质量与发布","E8 质量与发布",,"实现测试体系、稳定性治理和内测发布。","关键路径无P0/P1；内测指标可观测。","phase-mvp,epic-e8"
Epic,"E9 RSIP定式树","E9 RSIP定式树",,"实现定式树模型、回溯与剪枝能力。","可创建/维护定式树；失败路径可回溯。","phase-next,epic-e9"
Epic,"E10 协议模板系统","E10 协议模板系统",,"实现协议模板、参数校验与版本治理。","模板可应用；协议升级兼容历史数据。","phase-next,epic-e10"
Epic,"E11 多摆件体系","E11 多摆件体系",,"实现多标签多场景绑定与迁移。","多摆件切换正确；更换标签不丢历史。","phase-next,epic-e11"
Epic,"E12 高级Focus Shield","E12 高级Focus Shield",,"实现分级专注和时段策略。","不同模式生效正确；临时放行可审计。","phase-next,epic-e12"
Epic,"E13 高级统计分析","E13 高级统计分析",,"实现周月趋势、稳定度评分与策略效果评估。","统计可解释；变更前后可对比。","phase-next,epic-e13"
Epic,"E14 商业化与订阅","E14 商业化与订阅",,"实现订阅权益与硬件套装联动。","权益控制准确；恢复购买可用。","phase-next,epic-e14"
Story,"S1.1 NFC标签标准化与写码",,"E1 NFC与App Clip入口","定义NTAG216 URL、签名字段、写码质检和锁定策略。","合法标签验签通过；伪造标签拒绝进入流程。","phase-mvp,story-s1-1"
Task,"T1.1.1 定义NDEF URL规范",,"E1 NFC与App Clip入口","定义`/i/{tagPublicId}`短链接格式与字段约束，保证兼容 App Clip Experience。","文档评审通过；客户端可按规范解析。","phase-mvp,task-t1-1-1"
Task,"T1.1.2 生成写码与质检清单",,"E1 NFC与App Clip入口","输出写码步骤、验签步骤、出厂抽检项。","按清单抽检通过率>=99%。","phase-mvp,task-t1-1-2"
Task,"T1.1.3 标签锁定与重绑流程",,"E1 NFC与App Clip入口","定义只读锁定条件与异常重绑步骤。","锁定后不可误写；重绑流程可恢复使用。","phase-mvp,task-t1-1-3"
Story,"S1.2 App Clip Invocation链路",,"E1 NFC与App Clip入口","配置App Clip Experience、AASA、参数解析。","触碰后出现卡片；参数缺失走降级页不崩溃。","phase-mvp,story-s1-2"
Task,"T1.2.1 配置App Clip Experience",,"E1 NFC与App Clip入口","在Apple后台配置域名与触发规则。","指定域名触碰可稳定唤起App Clip。","phase-mvp,task-t1-2-1"
Task,"T1.2.2 配置AASA与Associated Domains",,"E1 NFC与App Clip入口","部署AASA并在工程启用关联域。","AASA校验通过；真机可命中关联域。","phase-mvp,task-t1-2-2"
Task,"T1.2.3 实现Invocation URL解析",,"E1 NFC与App Clip入口","解析tagPublicId短路径并校验是否命中已绑定标签。","非法参数被拦截；合法参数进入入口Sheet。","phase-mvp,task-t1-2-3"
Story,"S1.3 入口Sheet体验",,"E1 NFC与App Clip入口","实现App Clip品牌化入口Sheet与完整App跳转。","3步内可启动会话；上下文透传成功。","phase-mvp,story-s1-3"
Task,"T1.3.1 设计并实现入口Sheet",,"E1 NFC与App Clip入口","实现时长选择、目标输入、开始按钮布局。","用户可在单屏完成设置并启动。","phase-mvp,task-t1-3-1"
Task,"T1.3.2 完整App跳转透传",,"E1 NFC与App Clip入口","定义Clip到App的参数透传协议。","跳转后会话配置一致。","phase-mvp,task-t1-3-2"
Story,"S2.1 会话状态机",,"E2 专注会话引擎","实现状态迁移、持久化与冷启动恢复。","中断后可恢复运行；无非法状态迁移。","phase-mvp,story-s2-1"
Task,"T2.1.1 建立会话状态机",,"E2 专注会话引擎","实现Idle/Ready/Running/Completed/Failed。","状态迁移符合定义且可单测覆盖。","phase-mvp,task-t2-1-1"
Task,"T2.1.2 状态持久化与恢复",,"E2 专注会话引擎","将运行状态落库并在重启恢复。","强杀重启后会话状态正确恢复。","phase-mvp,task-t2-1-2"
Story,"S2.2 主链PoW记录",,"E2 专注会话引擎","实现节点计算、成功累积与失败记录。","成功会话节点+1；失败不增长并留痕。","phase-mvp,story-s2-2"
Task,"T2.2.1 定义ChainNode与proofHash",,"E2 专注会话引擎","定义主链节点结构和哈希计算逻辑。","相同输入产生稳定哈希；可追溯。","phase-mvp,task-t2-2-1"
Task,"T2.2.2 会话结束入链逻辑",,"E2 专注会话引擎","完成成功入链与失败事件记录。","入链结果与会话状态一致。","phase-mvp,task-t2-2-2"
Story,"S3.1 预约启动机制",,"E3 预约链（CTDP）","实现15分钟预约、提醒、违约判定。","预约履约与违约均可准确识别。","phase-mvp,story-s3-1"
Task,"T3.1.1 实现预约与deadline",,"E3 预约链（CTDP）","预约生成截止时间并写入存储。","预约记录存在且可查询。","phase-mvp,task-t3-1-1"
Task,"T3.1.2 本地通知提醒",,"E3 预约链（CTDP）","预约窗口到达前发送提醒通知。","通知按时触达且点击可回到会话页。","phase-mvp,task-t3-1-2"
Task,"T3.1.3 超时未开始判定",,"E3 预约链（CTDP）","过期未启动主链时自动记违约。","违约事件100%落库。","phase-mvp,task-t3-1-3"
Story,"S3.2 预约链记录",,"E3 预约链（CTDP）","实现预约链节点计数与历史展示。","预约链长度和历史数据一致。","phase-mvp,story-s3-2"
Task,"T3.2.1 预约链数据模型",,"E3 预约链（CTDP）","定义appointment链节点模型。","可支持连续履约计数。","phase-mvp,task-t3-2-1"
Task,"T3.2.2 预约链历史页",,"E3 预约链（CTDP）","展示预约履约/违约明细。","历史页数据准确无缺漏。","phase-mvp,task-t3-2-2"
Story,"S4.1 违规事件采集",,"E4 判例引擎（下必为例）","统一采集退出、离屏、被禁App尝试等违规事件。","关键违规场景覆盖率100%。","phase-mvp,story-s4-1"
Task,"T4.1.1 统一ViolationEvent枚举",,"E4 判例引擎（下必为例）","定义事件类型、严重度、payload结构。","事件定义可覆盖已知场景。","phase-mvp,task-t4-1-1"
Task,"T4.1.2 采集与去重机制",,"E4 判例引擎（下必为例）","采集违规并防止短时重复刷屏。","重复事件不重复计数。","phase-mvp,task-t4-1-2"
Story,"S4.2 判决流程",,"E4 判例引擎（下必为例）","实现断链或永久允许双选，规则即时生效。","每次违规都需判决且可审计。","phase-mvp,story-s4-2"
Task,"T4.2.1 实现二选一判决UI",,"E4 判例引擎（下必为例）","违规后展示断链重置/永久允许。","用户无法跳过判决直接继续。","phase-mvp,task-t4-2-1"
Task,"T4.2.2 判例生效与审计",,"E4 判例引擎（下必为例）","判例写库并作用于后续同类事件。","规则变更可追溯。","phase-mvp,task-t4-2-2"
Story,"S5.1 权限与策略配置",,"E5 Focus Shield家长控制","完成Screen Time授权、屏蔽列表配置。","授权成功后可保存策略；撤销权限有回退提示。","phase-mvp,story-s5-1"
Task,"T5.1.1 接入FamilyControls授权",,"E5 Focus Shield家长控制","实现授权申请、拒绝处理、引导重试。","授权状态机覆盖允许与拒绝路径。","phase-mvp,task-t5-1-1"
Task,"T5.1.2 屏蔽策略保存",,"E5 Focus Shield家长控制","保存用户选择的App屏蔽token。","重启后策略仍生效。","phase-mvp,task-t5-1-2"
Story,"S5.2 会话期屏蔽执行",,"E5 Focus Shield家长控制","会话开始开启Shield，结束自动解除。","会话期间被选App不可用；结束后恢复。","phase-mvp,story-s5-2"
Task,"T5.2.1 接入ManagedSettings",,"E5 Focus Shield家长控制","会话生命周期下发和撤销屏蔽策略。","策略切换延迟在可接受范围内。","phase-mvp,task-t5-2-1"
Task,"T5.2.2 被禁App拦截提示页",,"E5 Focus Shield家长控制","定义拦截文案并触发违规事件。","每次拦截均有提示且可回写事件。","phase-mvp,task-t5-2-2"
Story,"S6.1 本地存储层",,"E6 本地数据与导入导出","实现核心实体schema与仓储层。","读写稳定；数据一致性通过测试。","phase-mvp,story-s6-1"
Task,"T6.1.1 建立核心数据表",,"E6 本地数据与导入导出","创建Tag/Session/Chain/Precedent等实体。","实体迁移后可读写。","phase-mvp,task-t6-1-1"
Task,"T6.1.2 Repository接口实现",,"E6 本地数据与导入导出","提供会话、链条、判例统一访问接口。","上层模块不直接依赖底层存储。","phase-mvp,task-t6-1-2"
Story,"S6.2 加密导出导入",,"E6 本地数据与导入导出","实现本地加密备份导出和恢复。","可完成完整导出导入；错误密钥不污染数据。","phase-mvp,story-s6-2"
Task,"T6.2.1 导出文件格式定义",,"E6 本地数据与导入导出","定义版本化导出结构。","跨版本可识别格式版本。","phase-mvp,task-t6-2-1"
Task,"T6.2.2 导入冲突策略",,"E6 本地数据与导入导出","定义覆盖/合并/取消三种导入路径。","用户可明确选择且结果可预测。","phase-mvp,task-t6-2-2"
Story,"S7.1 指标聚合",,"E7 统计与复盘（规则版）","实现日周指标聚合与首页展示。","指标计算准确且与原始数据一致。","phase-mvp,story-s7-1"
Task,"T7.1.1 聚合任务实现",,"E7 统计与复盘（规则版）","按日周汇总完成率、断链率、拦截数。","聚合结果误差为0。","phase-mvp,task-t7-1-1"
Task,"T7.1.2 首页统计卡片",,"E7 统计与复盘（规则版）","展示关键指标与趋势。","首页可在1秒内渲染统计结果。","phase-mvp,task-t7-1-2"
Story,"S7.2 规则化复盘模板",,"E7 统计与复盘（规则版）","实现基于规则的失败原因与建议模板。","无AI情况下可输出可执行建议。","phase-mvp,story-s7-2"
Task,"T7.2.1 复盘模板库",,"E7 统计与复盘（规则版）","定义按违规类型映射的建议模板。","每种违规类型有至少1条建议。","phase-mvp,task-t7-2-1"
Task,"T7.2.2 复盘历史页",,"E7 统计与复盘（规则版）","展示会话复盘与建议采纳状态。","历史复盘可按日期检索。","phase-mvp,task-t7-2-2"
Story,"S8.1 测试与稳定性",,"E8 质量与发布","建立单元、集成、回归测试和崩溃治理。","核心路径自动化测试通过。","phase-mvp,story-s8-1"
Task,"T8.1.1 状态机与判例单测",,"E8 质量与发布","覆盖正常与异常状态迁移。","关键模块覆盖率达到团队目标。","phase-mvp,task-t8-1-1"
Task,"T8.1.2 NFC到会话集成测试",,"E8 质量与发布","验证触碰到入链的全流程。","关键路径回归稳定。","phase-mvp,task-t8-1-2"
Story,"S8.2 内测发布",,"E8 质量与发布","完成TestFlight发布与埋点看板。","内测可持续收集指标并闭环问题。","phase-mvp,story-s8-2"
Task,"T8.2.1 TestFlight配置",,"E8 质量与发布","配置内测渠道与版本说明。","目标用户可安装并提交反馈。","phase-mvp,task-t8-2-1"
Task,"T8.2.2 指标看板与告警",,"E8 质量与发布","搭建关键指标看板和阈值告警。","异常时可在约定时间内发现。","phase-mvp,task-t8-2-2"
Story,"S9.1 定式树模型",,"E9 RSIP定式树","实现PolicyTree与PolicyNode结构及校验。","可创建树并维护父子关系。","phase-next,story-s9-1"
Task,"T9.1.1 定义PolicyTree/Node实体",,"E9 RSIP定式树","定义节点触发、动作、回滚字段。","模型可表达PRD场景。","phase-next,task-t9-1-1"
Task,"T9.1.2 父子依赖校验",,"E9 RSIP定式树","防止环依赖与非法挂载。","非法结构创建失败并提示。","phase-next,task-t9-1-2"
Story,"S9.2 回溯与剪枝",,"E9 RSIP定式树","实现失败路径回溯与子树剪枝。","失败可定位干预节点且可审计剪枝。","phase-next,story-s9-2"
Task,"T9.2.1 回溯算法实现",,"E9 RSIP定式树","从失败会话追溯候选节点。","输出节点可解释且稳定。","phase-next,task-t9-2-1"
Task,"T9.2.2 子树剪枝流程",,"E9 RSIP定式树","支持删除失败定式及其子节点。","剪枝后树一致性通过检查。","phase-next,task-t9-2-2"
Story,"S10.1 模板管理",,"E10 协议模板系统","实现预置模板、参数校验、复制创建。","模板可直接应用并启动会话。","phase-next,story-s10-1"
Task,"T10.1.1 预置模板实现",,"E10 协议模板系统","内置学习/写作/运动等模板。","模板配置合法且可保存。","phase-next,task-t10-1-1"
Task,"T10.1.2 模板参数校验",,"E10 协议模板系统","校验时长、预约窗口、违规策略。","非法配置拒绝提交。","phase-next,task-t10-1-2"
Story,"S10.2 协议版本治理",,"E10 协议模板系统","实现ProtocolVersion生效与废弃机制。","新旧版本可并存且解释一致。","phase-next,story-s10-2"
Task,"T10.2.1 版本切换机制",,"E10 协议模板系统","实现effective/deprecated状态管理。","切换后新会话使用新版本。","phase-next,task-t10-2-1"
Task,"T10.2.2 兼容迁移策略",,"E10 协议模板系统","保证历史数据不失真。","旧会话回放结果不变。","phase-next,task-t10-2-2"
Story,"S11.1 多标签绑定",,"E11 多摆件体系","支持多个Tag绑定不同场景协议。","触碰不同标签进入正确场景。","phase-next,story-s11-1"
Task,"T11.1.1 多Tag数据与路由",,"E11 多摆件体系","建立Tag到协议映射关系。","路由命中率100%。","phase-next,task-t11-1-1"
Task,"T11.1.2 冲突检测与提示",,"E11 多摆件体系","识别重复绑定和无效配置。","冲突配置不可保存。","phase-next,task-t11-1-2"
Story,"S11.2 换件迁移",,"E11 多摆件体系","实现旧标签作废和新标签继承。","更换后历史数据完整可用。","phase-next,story-s11-2"
Task,"T11.2.1 标签作废机制",,"E11 多摆件体系","作废后旧标签触碰被拒绝。","作废状态可追溯。","phase-next,task-t11-2-1"
Task,"T11.2.2 无损迁移流程",,"E11 多摆件体系","将旧标签历史绑定迁移到新标签。","迁移后链条和统计不丢失。","phase-next,task-t11-2-2"
Story,"S12.1 分级专注模式",,"E12 高级Focus Shield","实现轻/深/极限专注策略档位。","档位切换后屏蔽规则正确生效。","phase-next,story-s12-1"
Task,"T12.1.1 三档策略定义",,"E12 高级Focus Shield","定义每档允许/屏蔽集合。","每档均可通过配置校验。","phase-next,task-t12-1-1"
Task,"T12.1.2 档位与协议绑定",,"E12 高级Focus Shield","按会话协议自动套用档位。","会话启动时档位命中正确。","phase-next,task-t12-1-2"
Story,"S12.2 时段与临时白名单",,"E12 高级Focus Shield","支持时段规则和临时放行审计。","放行自动过期并有审计记录。","phase-next,story-s12-2"
Task,"T12.2.1 时段规则引擎",,"E12 高级Focus Shield","按时间窗口切换屏蔽策略。","跨时段切换行为正确。","phase-next,task-t12-2-1"
Task,"T12.2.2 临时白名单与审计",,"E12 高级Focus Shield","实现临时放行并记录原因。","放行结束后自动恢复屏蔽。","phase-next,task-t12-2-2"
Story,"S13.1 周月分析",,"E13 高级统计分析","实现周月趋势、断链分布、稳定度评分。","统计图与评分结果可解释。","phase-next,story-s13-1"
Task,"T13.1.1 周月聚合任务",,"E13 高级统计分析","构建月度聚合与趋势计算。","数据聚合性能达标。","phase-next,task-t13-1-1"
Task,"T13.1.2 稳定度评分模型",,"E13 高级统计分析","根据完成率/断链率/履约率计算评分。","评分与规则定义一致。","phase-next,task-t13-1-2"
Story,"S13.2 策略效果评估",,"E13 高级统计分析","实现变更前后效果对比与报告导出。","可视化展示策略调整效果。","phase-next,story-s13-2"
Task,"T13.2.1 前后窗口对比",,"E13 高级统计分析","计算协议变更前后指标差异。","对比逻辑可复现。","phase-next,task-t13-2-1"
Task,"T13.2.2 报告导出",,"E13 高级统计分析","导出关键统计和结论。","导出内容完整可读。","phase-next,task-t13-2-2"
Story,"S14.1 订阅权益",,"E14 商业化与订阅","实现Free/Pro权益控制与恢复购买。","未授权用户不能访问Pro能力。","phase-next,story-s14-1"
Task,"T14.1.1 权益矩阵与门禁",,"E14 商业化与订阅","定义功能门禁与前端提示。","门禁判定准确。","phase-next,task-t14-1-1"
Task,"T14.1.2 恢复购买流程",,"E14 商业化与订阅","实现购买恢复与状态刷新。","恢复购买后权益即时可用。","phase-next,task-t14-1-2"
Story,"S14.2 硬件套装联动",,"E14 商业化与订阅","实现SKU映射、套装激活和售后重绑。","套装激活后自动完成场景初始化。","phase-next,story-s14-2"
Task,"T14.2.1 SKU与标签批次映射",,"E14 商业化与订阅","建立SKU与标签批次关系。","批次校验通过后才允许激活。","phase-next,task-t14-2-1"
Task,"T14.2.2 售后重绑流程",,"E14 商业化与订阅","支持换件后快速恢复用户配置。","售后重绑成功率达标。","phase-next,task-t14-2-2"
